Time;A_P1;A_P2;B;C;D;E;F
0.003000;2.187462;1.449527;1.831469;-1.740744;2.771536;14.490478;46.287831
0.003030;3.060784;0.757978;1.761043;0.062552;2.403053;13.390635;5.668636
0.003060;2.906718;-0.081796;1.143917;1.657328;1.522531;11.050279;-25.840725
0.003090;2.125562;-0.761245;0.540364;2.417032;0.415119;7.877783;-59.894963
0.003120;1.549283;-0.326508;0.361008;2.335171;-0.883058;3.932318;-83.822753
0.003150;0.680370;0.669963;0.925674;1.003028;-1.782986;-0.095159;-79.471105
0.003180;0.101713;2.123524;2.257786;-0.318241;-2.178655;-3.346940;-49.309116
0.003210;0.247406;3.845551;3.503442;-1.170664;-1.726435;-5.361288;-8.761838
0.003240;0.639343;5.748498;4.241289;-1.607991;-0.939087;-5.972587;26.292715
0.003270;1.232856;6.946454;4.546520;-1.131458;0.205546;-5.611238;51.241423
0.003300;2.118131;7.108256;4.165615;0.186971;1.429686;-4.875756;53.711155
0.003330;2.408828;6.169691;3.092198;1.522175;3.202201;-4.113418;38.003645
0.003360;2.546098;4.741757;2.030682;2.477002;4.830759;-2.879951;21.778241
0.003390;2.249936;3.016093;1.417514;2.668325;6.449172;-1.230747;4.047984
0.003420;1.474613;1.630434;0.625564;1.790437;7.876548;0.848609;-10.208430
0.003450;0.386428;0.734181;0.044582;0.466565;8.554275;2.802735;-8.078773
0.003480;-0.770090;0.819521;-0.919775;-1.259361;8.360171;4.311617;5.654760
0.003510;-1.677929;1.294029;-4.068046;-2.462757;7.493847;4.441978;18.094758
0.003540;-2.048904;1.871200;-10.489557;-2.411058;6.001739;3.021280;19.824274
0.003570;-1.823929;2.290885;-16.733767;-1.867326;4.139683;0.648561;10.458606
0.003600;-0.142065;2.714681;-17.678445;-0.791337;2.984164;-1.868874;-9.588730
0.003630;1.617576;2.803660;-11.031508;0.150382;1.504953;-3.903547;-41.994824
0.003660;2.380137;2.764354;2.958119;0.975825;0.748283;-5.484277;-77.350486
0.003690;2.878470;3.003689;22.096468;1.909660;0.992091;-6.527635;-102.864191
0.003720;3.234948;3.239179;40.728563;2.613200;2.008214;-6.936681;-100.633141
0.003750;2.909936;3.405539;54.632283;3.072986;3.337554;-7.375009;-71.157935
0.003780;1.675905;3.498740;62.571919;3.339782;5.605373;-7.291602;-36.054953
0.003810;0.621082;3.376627;64.788165;3.140596;7.226695;-6.888692;0.331392
0.003840;0.576187;2.983356;60.970660;2.329359;7.684464;-6.312371;50.525667
0.003870;0.105817;2.563952;49.406644;1.169922;7.018725;-5.828609;94.091580
0.003900;-0.476893;1.688631;30.448762;-0.102238;4.882269;-4.969635;101.999628
0.003930;-1.058817;0.551108;5.652701;-1.063281;1.836280;-3.706916;73.085197
0.003960;-1.309295;-0.553336;-27.262664;-1.693193;-0.494615;-2.388632;39.789887
0.003990;-0.689809;-1.317092;-71.306037;-1.885065;-2.442369;-1.521380;16.286519
0.004020;-0.409118;-2.042149;-115.689141;-1.493602;-4.235782;-1.015618;0.901950
0.004050;-0.611411;-2.481677;-144.193736;-0.972080;-5.086885;-0.851871;-0.980577
0.004080;-0.106642;-2.892052;-144.517834;-0.183543;-4.619223;-1.127037;8.337655
0.004110;0.638326;-2.883781;-110.510508;0.907801;-4.126616;-1.760554;15.072109
0.004140;0.993702;-2.321360;-52.518338;1.831109;-4.153976;-2.147631;5.053836
0.004170;1.351189;-2.347999;7.206424;2.211357;-4.223389;-1.829281;-25.358166
0.004200;1.199348;-3.622202;49.881407;2.484550;-4.404014;-1.094016;-57.081453
0.004230;0.666358;-3.602759;76.863876;2.511709;-4.351830;-0.957210;-73.375283
0.004260;0.206807;-2.717372;92.592281;2.136726;-3.853480;-1.570965;-84.235355
0.004290;-0.464974;-2.561974;93.188551;1.243179;-2.807922;-2.635488;-84.139145
0.004320;-1.367593;-3.248127;84.142983;0.206107;-1.376557;-3.762909;-60.301770
0.004350;-2.373500;-2.839018;70.047654;-0.607154;0.275860;-4.470301;-21.532594
0.004380;-3.324129;-2.285243;50.983555;-1.392863;1.026999;-4.077732;25.463375
0.004410;-3.750612;-2.947757;27.729496;-2.263573;0.305108;-2.932301;60.928376
0.004440;-3.797606;-3.340533;3.397935;-2.557659;-1.200217;-2.545057;63.451130
0.004470;-3.945831;-3.608163;-18.531628;-2.222849;-2.638717;-2.833083;43.007097
0.004500;-3.377145;-3.948332;-33.192921;-2.062593;-4.565220;-3.575295;24.592460
0.004530;-1.918472;-4.405536;-41.054617;-2.105823;-6.999286;-4.364068;17.511224
0.004560;-0.245212;-4.582323;-45.129542;-1.972300;-8.694562;-4.697771;9.103307
0.004590;1.295273;-4.542094;-46.467478;-1.716168;-9.090680;-3.986928;5.814363
0.004620;2.732347;-4.681545;-44.623061;-1.351343;-8.879421;-3.240742;18.876571
0.004650;3.039867;-4.918728;-41.831236;-0.553818;-7.938336;-2.658838;25.442073
0.004680;2.233300;-5.364341;-40.360522;0.692436;-6.437845;-2.176227;3.589030
0.004710;0.733071;-5.708420;-34.944858;2.234637;-4.617249;-1.555008;-32.536094
0.004740;-1.018153;-4.955592;-17.611330;3.204871;-2.705681;-0.800479;-61.707452
0.004770;-2.414375;-3.811832;7.745710;3.549398;-1.342177;0.082640;-68.888445
0.004800;-2.787632;-2.331914;32.721215;2.979245;-0.220339;0.506487;-54.993949
0.004830;-2.703004;-0.885984;50.141943;1.518631;0.524765;0.668053;-26.322454
0.004860;-1.945555;0.603218;52.513715;-0.526955;0.944479;0.160189;12.627854
0.004890;-0.941144;1.776696;39.446716;-2.112545;0.653475;-1.538191;49.392453
0.004920;-0.373427;2.696766;20.987932;-3.479490;-0.184031;-3.145957;73.156911
0.004950;-0.320257;2.831112;5.214222;-4.396551;-1.226094;-3.412020;61.251970
0.004980;-0.625656;1.820103;-9.907113;-4.409816;-1.794571;-3.030873;26.296757
0.005010;-1.086846;0.209392;-27.903821;-3.542011;-1.988950;-2.708107;-3.348253
0.005040;-1.257637;-1.180145;-44.615981;-2.455764;-1.836562;-2.020745;-25.618555
0.005070;-0.974714;-2.340448;-50.904226;-1.235382;-1.676611;-0.728739;-35.088112
0.005100;-0.173601;-2.832011;-43.475991;-0.264654;-0.910554;0.592094;-25.779313
0.005130;0.415434;-2.941422;-25.242690;0.243088;0.035691;1.287181;-9.188015
0.005160;1.209300;-2.995158;0.143172;-0.197208;0.797859;1.644688;13.498325
0.005190;2.091038;-2.396905;24.556964;-0.756432;2.037180;1.912759;38.879719
0.005220;2.465804;-1.384310;40.015301;-0.794993;3.749725;2.510160;53.349935
0.005250;2.713806;-0.459293;30.483191;-0.484716;4.524422;2.857886;47.391488
0.005280;2.836728;0.324243;-11.431141;0.063019;4.563887;3.374259;29.803397
0.005310;2.686229;2.301264;-52.556476;1.346602;4.761117;3.848899;5.840284
0.005340;2.522351;4.451154;-74.385090;2.056329;4.793813;4.199805;-19.991427
0.005370;2.417078;4.052884;-86.072558;1.365285;3.831340;3.868534;-31.037151
0.005400;1.460814;3.174326;-75.545341;0.155003;2.601953;3.066458;-19.630971
0.005430;-0.080767;4.254981;-26.690449;-1.361115;1.876947;1.539466;-4.767903
0.005460;-1.169302;4.751564;36.847938;-2.926768;1.523596;-0.403689;2.146914
0.005490;-1.820617;3.355613;87.017152;-3.795812;0.879777;-1.864507;9.122466
0.005520;-2.119097;2.705648;120.568616;-3.733820;0.487689;-2.371677;9.586897
0.005550;-1.854561;4.367806;136.251472;-3.051858;0.732479;-1.495780;-2.743346
0.005580;-0.980619;4.098529;126.893351;-1.740460;0.865108;0.506713;-17.177862
0.005610;0.415771;3.785989;99.648667;0.003215;1.150710;3.369132;-28.291391
0.005640;1.611212;4.320404;63.277637;1.783613;1.565038;6.749013;-38.121267
0.005670;2.114218;4.038499;16.918877;2.791716;1.880930;9.851286;-35.937138
0.005700;2.058623;3.034856;-36.279508;3.008211;2.628801;12.080893;-18.613599
0.005730;1.564225;1.659887;-82.469527;2.837623;3.839471;13.060623;2.172680
0.005760;0.556306;0.391334;-109.342628;2.229273;4.817526;12.533934;21.867418
0.005790;-1.001235;0.062312;-121.664413;1.676305;5.743440;10.813189;40.420735
0.005820;-2.540613;0.742131;-123.103831;1.698727;6.229675;7.980385;48.020432
0.005850;-3.354800;1.247266;-102.319533;2.063668;5.641803;4.821624;46.086941
0.005880;-3.776752;2.529638;-58.198730;2.326175;4.279978;1.784788;48.916835
0.005910;-3.923475;5.246455;-4.229374;1.684274;3.072531;0.102966;49.197345
0.005940;-3.694744;7.278311;45.875046;0.746453;2.287551;-0.369974;31.558481
0.005970;-3.343926;7.672364;85.712745;0.176730;1.436198;0.262402;9.454399
0.006000;-2.646208;7.146786;107.038541;-0.858487;0.573630;1.950884;-9.617780
0.006030;-1.808044;6.353792;106.481236;-1.851285;0.302154;4.153780;-32.804452
0.006060;-1.039531;4.866021;90.603507;-1.482770;0.391989;6.119468;-56.214038
0.006090;-0.755150;3.125746;66.410765;-0.204894;0.634651;7.626135;-64.134496
0.006120;0.085310;2.303232;41.393569;0.494622;0.792722;8.451734;-52.636530
0.006150;0.255693;1.323490;21.352064;0.402816;1.233465;8.461134;-27.502193
0.006180;0.110031;1.413075;6.381863;0.403159;1.798116;7.295695;7.937756
0.006210;-0.281578;2.003075;-6.438472;0.436422;2.444418;5.445438;39.278208
0.006240;-1.128955;2.718285;-22.602393;0.055456;3.158137;3.563207;58.971356
0.006270;-2.143454;3.726361;-46.216745;-0.276373;3.541966;2.070186;73.439674
0.006300;-2.460396;4.344282;-72.548315;0.165745;3.362887;1.140648;70.837709
0.006330;-2.553746;4.118741;-91.209400;1.144967;3.030818;0.800956;42.415147
0.006360;-2.499338;3.661472;-96.333881;1.534105;2.469501;0.901628;11.705188
0.006390;-1.158061;2.528128;-86.562212;1.660139;1.354382;1.068763;-0.102372
0.006420;0.091697;0.912339;-58.442379;1.717894;0.259922;1.158962;-10.888538
0.006450;0.332787;0.127239;-14.527364;1.086198;-0.528171;0.943360;-28.070532
0.006480;0.379026;0.086008;32.540791;-0.169866;-0.895860;0.181059;-34.283032
0.006510;-0.222910;-0.761284;66.236145;-1.352375;-1.122457;-1.000148;-31.818440
0.006540;-1.295438;-1.491621;81.929203;-2.058368;-1.413331;-2.459122;-32.045698
0.006570;-2.097142;-1.687256;83.085378;-2.219016;-2.142959;-4.161150;-25.781549
0.006600;-2.862847;-2.378544;72.690536;-2.158885;-2.959800;-5.497914;-15.055689
0.006630;-3.130968;-3.241626;56.889981;-1.403114;-4.027284;-5.932853;-17.618635
0.006660;-2.643581;-3.504225;42.287361;-0.571059;-5.190812;-5.889666;-25.167350
0.006690;-1.494883;-3.725571;28.047823;0.333247;-5.907716;-5.132997;-23.412909
0.006720;-0.194404;-4.146396;11.725136;0.840991;-6.440505;-3.599250;-16.066025
0.006750;1.566188;-4.440696;-6.518779;0.847657;-6.410789;-2.257038;-1.139446
0.006780;2.862887;-5.037807;-26.768410;0.818007;-5.301764;-1.413674;14.800032
0.006810;3.676047;-5.301579;-52.710652;0.347055;-3.707939;-1.107567;12.703641
0.006840;3.749765;-4.710761;-81.074747;-0.156786;-2.184647;-1.381259;10.038524
0.006870;2.813267;-3.827526;-96.436319;-0.476890;-1.592314;-2.519576;25.052193
0.006900;1.254457;-3.866487;-92.306153;-0.579785;-1.643471;-4.046120;43.458102
0.006930;0.241106;-3.474072;-72.894842;-0.255480;-2.008509;-5.761313;39.983917
0.006960;-0.484774;-2.907553;-39.404667;0.116024;-3.081199;-7.615188;24.444511
0.006990;-0.524847;-3.171669;0.363538;0.107466;-4.535998;-9.183531;10.206044
0.007020;0.462327;-3.757247;36.735175;-0.212567;-5.482929;-9.814350;-11.928467
0.007050;1.940940;-3.844656;61.265982;-0.553782;-6.124292;-9.266057;-38.761385
0.007080;3.295621;-4.225111;68.266225;-0.687380;-6.417987;-7.566973;-49.804621
0.007110;4.576441;-4.726911;60.462100;-0.927186;-6.485804;-4.805883;-47.641719
0.007140;5.295204;-5.035134;47.128809;-0.981081;-6.436922;-1.765329;-39.290685
0.007170;4.979419;-5.165211;32.655977;-0.245772;-5.763336;0.893146;-29.165032
0.007200;3.842006;-5.182109;16.985872;0.814316;-5.077307;2.636227;-15.536866
0.007230;2.616900;-4.709690;0.654104;1.871738;-4.766990;2.970693;7.060530
0.007260;1.529548;-4.472134;-14.507885;3.006630;-4.606617;1.833246;25.966259
0.007290;0.858240;-4.316193;-27.821354;3.930851;-4.231159;0.001774;25.528436
0.007320;0.818087;-4.078006;-38.297341;4.245873;-4.213757;-2.012290;9.557730
0.007350;1.936977;-3.987539;-43.617030;3.158686;-3.735166;-3.700503;-2.380663
0.007380;4.198750;-3.808329;-40.963395;1.082506;-3.215426;-4.476583;-6.463202
0.007410;6.375599;-3.128711;-31.735043;-1.024682;-2.382031;-4.300924;-1.791542
0.007440;7.460408;-2.061029;-18.089557;-2.906230;-1.146594;-3.629130;4.373018
0.007470;7.471825;-1.031394;-2.454022;-4.516780;0.149342;-2.344757;12.328836
0.007500;6.707792;0.197768;13.315662;-5.321562;0.744680;-1.413198;20.672040
0.007530;5.098631;1.502735;26.718992;-4.871489;0.942787;-1.024043;23.454335
0.007560;3.136999;2.291685;34.527688;-3.773915;0.986801;-1.122175;10.460083
0.007590;1.664036;2.618168;34.632156;-2.381253;0.580596;-1.278657;-7.566996
0.007620;1.581527;2.585833;28.363872;-1.278022;-0.159945;-1.425696;-15.685043
0.007650;1.896083;1.569017;19.252141;-0.481947;-0.837097;-1.030237;-22.673429
0.007680;1.389426;0.449533;11.187359;0.282221;-0.587971;-0.293725;-38.865393
0.007710;-0.095191;-0.209810;5.897657;1.092369;0.265884;0.563471;-50.004763
0.007740;-1.901017;-0.510071;3.608161;2.044698;1.117761;1.780802;-51.814026
0.007770;-4.065255;-0.389321;1.480758;2.766549;1.998111;2.872523;-53.485937
0.007800;-6.341390;0.722690;-2.151901;3.185552;3.043417;3.412619;-51.890165
0.007830;-8.064135;2.234004;-5.229209;3.616993;3.903358;3.375883;-35.829637
0.007860;-8.328356;3.657959;-5.683935;3.214218;4.397140;2.149546;-9.715904
0.007890;-7.128500;4.643258;-5.145511;1.964707;4.445589;0.304375;15.398252
0.007920;-5.048620;5.369971;-6.112098;0.082175;4.471613;-1.143622;46.971963
0.007950;-2.598303;5.590827;-7.773060;-1.672897;4.599734;-2.415285;80.756694
0.007980;-0.207060;5.467717;-7.148017;-3.512746;4.880737;-3.106036;89.128818
0.008010;1.133043;4.970441;-3.231352;-4.696625;5.102058;-2.688520;73.552007
0.008040;0.896106;4.324430;2.877983;-5.012916;5.543641;-1.216766;45.767837
0.008070;-1.027809;3.847453;8.523966;-4.726609;5.925129;0.167613;17.726026
0.008100;-4.187740;3.872176;10.031540;-3.920720;6.244792;1.247569;-1.889858
0.008130;-6.666464;4.176587;7.272491;-1.867420;6.322411;1.885422;-13.749787
0.008160;-8.781231;4.804459;3.074048;0.116582;6.368126;1.979188;-24.347266
0.008190;-10.075514;5.329006;-0.170768;1.823207;6.483561;1.080909;-26.312670
0.008220;-9.497778;5.494040;-1.985764;3.408479;6.760269;-0.096179;-26.757219
0.008250;-7.566580;5.213930;-2.664129;4.482814;6.722414;-1.255288;-35.066670
0.008280;-5.421926;4.301373;-2.435416;4.597919;6.304579;-1.773290;-41.958348
0.008310;-2.951970;2.588112;-0.938991;4.114151;5.703891;-1.749344;-34.347013
0.008340;-0.807890;1.042316;2.050711;3.428081;4.565916;-0.983413;-14.588875
0.008370;0.452687;-0.032308;6.450469;2.195528;2.876142;0.176105;11.446648
0.008400;-0.072377;-0.610122;10.702266;0.718632;1.363373;1.166060;33.407665
0.008430;-1.757050;-0.541487;12.529473;-0.606735;0.229473;1.538023;43.218723
0.008460;-3.624624;0.029688;10.604678;-1.630778;-0.266587;1.324616;47.920836
0.008490;-5.916248;0.994616;6.214848;-2.347581;0.245836;1.121468;49.663672
0.008520;-8.237193;2.172300;1.208114;-2.925433;1.529775;1.060275;42.234942
0.008550;-9.242130;3.839908;-3.362491;-2.560603;3.361753;1.356494;28.046745
0.008580;-8.798404;5.289324;-7.722569;-1.150508;5.147754;2.422397;16.530958
0.008610;-7.705420;5.585141;-10.662519;0.303085;5.744328;4.642257;10.456016
0.008640;-6.269238;5.355541;-11.633320;1.632374;5.263560;8.332755;8.750110
0.008670;-4.018022;4.792794;-10.841435;2.821919;4.138640;13.429466;1.539432
0.008700;-1.882960;3.442899;-7.818526;3.121475;2.534618;18.848714;-22.463843
0.008730;-0.258518;1.697032;-3.041022;2.240706;0.613706;23.546699;-49.206532
0.008760;0.437350;-0.017001;2.013427;1.246796;-1.084058;26.895489;-65.266390
0.008790;0.515073;-1.610619;5.758978;0.097792;-2.173355;27.252074;-66.771519
0.008820;0.455649;-3.118850;8.257288;-0.977393;-3.649337;21.355437;-60.189894
0.008850;0.350620;-4.073334;9.639788;-1.291384;-5.096463;8.436471;-48.168891
0.008880;0.034727;-4.679216;9.421673;-1.039846;-6.049924;-7.210655;-26.023866
0.008910;-0.007085;-5.027913;6.987003;-0.967534;-6.615879;-19.988317;5.273574
0.008940;0.686600;-4.640156;3.161824;-0.757917;-7.031915;-27.984003;33.094314
0.008970;0.957681;-3.606202;-2.357019;-0.618381;-6.433606;-28.465299;50.772019
0.009000;0.901505;-2.507608;-8.267935;-0.833242;-5.237268;-18.517819;60.028000
0.009030;0.492304;-1.745839;-12.737990;-1.808084;-4.043895;-1.501431;65.375831
0.009060;0.326059;-0.633994;-15.405555;-1.956276;-2.512313;14.162156;66.869322
0.009090;0.038489;0.544399;-17.081324;-0.997634;-1.220620;24.763769;60.676915
0.009120;0.093793;1.680493;-17.430948;0.074978;-0.561648;28.975820;46.546425
0.009150;-0.015254;2.556847;-16.848286;1.003263;-0.539284;25.157511;27.535757
0.009180;0.477010;2.935506;-15.454488;2.540841;-0.851993;11.783294;0.043796
